date,Close,High,Low,Open,Volume,SMA_5,SMA_10,SMA_20,RSI_14,Upper_Band,Middle_Band,Lower_Band,MACD
20141001,6.17,6.32,6.17,6.32,16281703,6.32,6.42,6.66,28.02,7.26,6.66,6.05,-0.18
20141002,6.17,6.29,6.17,6.21,15117264,6.28,6.39,6.6,27.8,7.18,6.6,6.03,-0.19
20141003,6.18,6.18,6.11,6.18,4689018,6.25,6.35,6.55,29.0,7.08,6.55,6.02,-0.2
20141004,6.18,6.18,6.11,6.18,4689018,6.25,6.35,6.55,29.0,7.08,6.55,6.02,-0.2
20141005,6.18,6.18,6.11,6.18,4689018,6.25,6.35,6.55,29.0,7.08,6.55,6.02,-0.2
20141006,6.17,6.17,6.17,6.17,0,6.21,6.31,6.5,28.49,6.95,6.5,6.04,-0.2
20141007,6.17,6.17,6.17,6.17,0,6.17,6.27,6.46,28.49,6.88,6.46,6.03,-0.2
20141008,6.12,6.13,6.04,6.07,17505703,6.16,6.24,6.42,27.1,6.84,6.42,6.01,-0.2
20141009,6.38,6.4,6.31,6.36,15593798,6.2,6.24,6.41,44.5,6.79,6.41,6.02,-0.18
20141010,6.21,6.27,6.2,6.27,10634131,6.21,6.23,6.38,37.99,6.77,6.38,6.0,-0.17
20141011,6.21,6.27,6.2,6.27,10634131,6.21,6.23,6.38,37.99,6.77,6.38,6.0,-0.17
20141012,6.21,6.27,6.2,6.27,10634131,6.21,6.23,6.38,37.99,6.77,6.38,6.0,-0.17
20141013,6.53,6.55,6.35,6.35,14270709,6.28,6.24,6.38,51.98,6.76,6.38,6.0,-0.14
20141014,6.39,6.49,6.33,6.39,17519649,6.32,6.25,6.36,47.04,6.71,6.36,6.02,-0.12
20141015,6.38,6.53,6.36,6.49,22023947,6.38,6.27,6.35,46.74,6.64,6.35,6.05,-0.11
20141016,6.39,6.39,6.24,6.35,20256096,6.38,6.29,6.34,47.1,6.63,6.34,6.05,-0.1
20141017,6.54,6.58,6.51,6.52,13162910,6.44,6.33,6.34,53.26,6.63,6.34,6.05,-0.08
20141018,6.54,6.58,6.51,6.52,13162910,6.44,6.33,6.34,53.26,6.63,6.34,6.05,-0.08
20141019,6.54,6.58,6.51,6.52,13162910,6.44,6.33,6.34,53.26,6.63,6.34,6.05,-0.08
20141020,6.59,6.64,6.58,6.63,16011140,6.46,6.37,6.34,55.14,6.64,6.34,6.05,-0.05
20141021,6.72,6.74,6.6,6.63,18011314,6.53,6.42,6.35,59.52,6.67,6.35,6.03,-0.02
20141022,6.74,6.77,6.71,6.72,10626859,6.6,6.49,6.36,60.08,6.72,6.36,6.0,-0.0
20141023,6.95,6.95,6.84,6.86,12533001,6.71,6.54,6.39,66.33,6.84,6.39,5.95,0.04
20141024,6.82,6.89,6.78,6.88,21685901,6.77,6.6,6.42,59.87,6.9,6.42,5.94,0.05
20141025,6.82,6.89,6.78,6.88,21685901,6.77,6.6,6.42,59.87,6.9,6.42,5.94,0.05
20141026,6.82,6.89,6.78,6.88,21685901,6.77,6.6,6.42,59.87,6.9,6.42,5.94,0.05
20141027,6.79,6.79,6.71,6.77,11879613,6.8,6.63,6.44,58.71,6.94,6.44,5.93,0.06
20141028,6.85,6.86,6.78,6.82,8206595,6.83,6.68,6.46,60.62,7.0,6.46,5.93,0.08
20141029,6.85,6.85,6.85,6.85,0,6.85,6.72,6.5,60.62,7.04,6.5,5.95,0.08
20141030,6.76,6.78,6.68,6.73,20758786,6.81,6.76,6.53,55.91,7.06,6.53,5.99,0.08
20141031,6.89,6.89,6.84,6.89,12502585,6.83,6.8,6.56,60.43,7.09,6.56,6.03,0.09
20141101,6.89,6.89,6.84,6.89,12502585,6.83,6.8,6.56,60.43,7.09,6.56,6.03,0.09
20141102,6.89,6.89,6.84,6.89,12502585,6.83,6.8,6.56,60.43,7.09,6.56,6.03,0.09
20141103,6.72,6.84,6.71,6.83,12103885,6.81,6.81,6.59,53.01,7.09,6.59,6.09,0.08
20141104,6.76,6.78,6.67,6.77,11265247,6.79,6.81,6.62,54.28,7.08,6.62,6.15,0.08
20141105,6.64,6.84,6.64,6.74,14816440,6.75,6.8,6.64,49.26,7.05,6.64,6.24,0.06
20141106,6.45,6.65,6.41,6.62,16421503,6.69,6.75,6.65,42.59,7.05,6.65,6.25,0.04
20141107,6.51,6.58,6.46,6.48,11283601,6.61,6.72,6.66,45.13,7.01,6.66,6.31,0.02
20141108,6.51,6.58,6.46,6.48,11283601,6.61,6.72,6.66,45.13,7.01,6.66,6.31,0.02
20141109,6.51,6.58,6.46,6.48,11283601,6.61,6.72,6.66,45.13,7.01,6.66,6.31,0.02
20141110,6.51,6.59,6.47,6.59,6999436,6.57,6.69,6.66,45.13,7.01,6.66,6.31,0.01
20141111,6.57,6.6,6.53,6.57,7931302,6.53,6.66,6.67,47.82,7.0,6.67,6.34,0.0
20141112,6.89,6.89,6.75,6.78,12245623,6.59,6.67,6.7,59.42,7.01,6.7,6.38,0.02
20141113,6.93,6.96,6.83,6.92,21626982,6.68,6.69,6.72,60.42,7.02,6.72,6.42,0.04
20141114,7.0,7.05,6.91,6.95,12772905,6.78,6.7,6.75,62.41,7.06,6.75,6.44,0.06
20141115,7.0,7.05,6.91,6.95,12772905,6.78,6.7,6.75,62.41,7.06,6.75,6.44,0.06
20141116,7.0,7.05,6.91,6.95,12772905,6.78,6.7,6.75,62.41,7.06,6.75,6.44,0.06
20141117,6.9,7.07,6.89,7.01,11018583,6.86,6.71,6.76,58.08,7.07,6.76,6.45,0.07
20141118,7.01,7.01,6.93,7.0,9851519,6.95,6.74,6.78,61.24,7.1,6.78,6.45,0.08
20141119,6.95,7.07,6.93,7.05,11424939,6.96,6.77,6.79,58.47,7.12,6.79,6.45,0.09
20141120,7.07,7.09,6.98,7.01,16786164,6.98,6.83,6.79,62.39,7.14,6.79,6.44,0.1
20141121,7.27,7.31,7.18,7.23,9898179,7.04,6.91,6.81,67.47,7.22,6.81,6.41,0.13
20141122,7.27,7.31,7.18,7.23,9898179,7.04,6.91,6.81,67.47,7.22,6.81,6.41,0.13
20141123,7.27,7.31,7.18,7.23,9898179,7.04,6.91,6.81,67.47,7.22,6.81,6.41,0.13
20141124,7.24,7.25,7.13,7.17,8373161,7.11,6.98,6.84,65.8,7.28,6.84,6.39,0.14
20141125,7.22,7.25,7.13,7.18,11448642,7.15,7.05,6.86,64.94,7.33,6.86,6.38,0.15
20141126,7.32,7.33,7.25,7.25,12269217,7.22,7.09,6.88,67.68,7.4,6.88,6.36,0.16
20141127,7.39,7.39,7.31,7.34,9176346,7.29,7.14,6.91,69.39,7.47,6.91,6.35,0.18
20141128,7.71,7.8,7.48,7.52,22446331,7.38,7.21,6.95,75.79,7.61,6.95,6.29,0.21
20141129,7.71,7.8,7.48,7.52,22446331,7.38,7.21,6.95,75.79,7.61,6.95,6.29,0.21
20141130,7.71,7.8,7.48,7.52,22446331,7.38,7.21,6.95,75.79,7.61,6.95,6.29,0.21
20141201,7.72,7.72,7.72,7.72,97747041,7.47,7.29,7.0,75.93,7.73,7.0,6.27,0.24
20141202,7.39,7.39,7.39,7.39,121711183,7.51,7.33,7.03,60.87,7.77,7.03,6.3,0.23
20141203,7.37,7.37,7.37,7.37,102683070,7.52,7.37,7.07,60.2,7.8,7.07,6.34,0.22
20141204,7.56,7.56,7.56,7.56,78469452,7.55,7.42,7.13,64.83,7.83,7.13,6.43,0.22
20141205,7.49,7.69,7.43,7.61,19978381,7.51,7.44,7.18,61.67,7.83,7.18,6.52,0.22
20141206,7.49,7.69,7.43,7.61,19978381,7.51,7.44,7.18,61.67,7.83,7.18,6.52,0.22
20141207,7.49,7.69,7.43,7.61,19978381,7.51,7.44,7.18,61.67,7.83,7.18,6.52,0.22
20141208,7.47,7.55,7.39,7.45,13246193,7.46,7.46,7.22,60.96,7.81,7.22,6.63,0.21
20141209,7.3,7.49,7.3,7.48,16238279,7.44,7.47,7.26,54.22,7.77,7.26,6.75,0.19
20141210,7.35,7.43,7.31,7.37,13817825,7.43,7.47,7.28,55.8,7.76,7.28,6.8,0.17
20141211,7.36,7.5,7.3,7.49,15415584,7.39,7.47,7.3,56.07,7.76,7.3,6.85,0.16
20141212,7.09,7.14,7.03,7.12,18647065,7.31,7.41,7.31,46.52,7.75,7.31,6.87,0.12
20141213,7.09,7.14,7.03,7.12,18647065,7.31,7.41,7.31,46.52,7.75,7.31,6.87,0.12
20141214,7.09,7.14,7.03,7.12,18647065,7.31,7.41,7.31,46.52,7.75,7.31,6.87,0.12
20141215,7.09,7.13,7.05,7.07,8809001,7.24,7.35,7.32,46.52,7.73,7.32,6.9,0.1
20141216,6.7,6.89,6.69,6.86,18437331,7.12,7.28,7.3,35.98,7.78,7.3,6.82,0.04
20141217,6.92,6.99,6.73,6.73,18714959,7.03,7.23,7.3,43.74,7.78,7.3,6.82,0.02
20141218,7.27,7.27,7.08,7.09,12567910,7.01,7.2,7.31,53.35,7.78,7.31,6.84,0.02
20141219,7.28,7.32,7.13,7.21,14242687,7.05,7.18,7.31,53.55,7.78,7.31,6.84,0.03
20141220,7.28,7.32,7.13,7.21,14242687,7.05,7.18,7.31,53.55,7.78,7.31,6.84,0.03
20141221,7.28,7.32,7.13,7.21,14242687,7.05,7.18,7.31,53.55,7.78,7.31,6.84,0.03
20141222,7.55,7.55,7.43,7.43,11413848,7.14,7.19,7.33,59.58,7.81,7.33,6.85,0.06
20141223,7.43,7.51,7.35,7.45,11859413,7.29,7.2,7.34,56.04,7.82,7.34,6.86,0.07
20141224,7.4,7.44,7.38,7.42,5832080,7.38,7.21,7.34,55.29,7.82,7.34,6.86,0.07
20141225,7.4,7.44,7.39,7.42,2173361,7.41,7.21,7.34,55.29,7.82,7.34,6.86,0.08
20141226,7.4,7.43,7.38,7.42,1439155,7.43,7.24,7.33,55.29,7.78,7.33,6.88,0.08
20141227,7.4,7.43,7.38,7.42,1439155,7.43,7.24,7.33,55.29,7.78,7.33,6.88,0.08
20141228,7.4,7.43,7.38,7.42,1439155,7.43,7.24,7.33,55.29,7.78,7.33,6.88,0.08
20141229,7.33,7.36,7.3,7.36,7747389,7.39,7.27,7.31,52.91,7.72,7.31,6.89,0.07
20141230,7.31,7.4,7.18,7.37,14668649,7.37,7.33,7.3,52.0,7.71,7.3,6.89,0.07
20141231,7.43,7.43,7.32,7.34,6797989,7.37,7.38,7.31,55.8,7.72,7.31,6.89,0.07
20150101,7.43,7.43,7.43,7.43,0,7.38,7.39,7.3,55.8,7.7,7.3,6.9,0.07
20150102,7.45,7.47,7.37,7.39,6312573,7.39,7.41,7.3,56.65,7.69,7.3,6.9,0.07
20150103,7.45,7.47,7.37,7.39,6312573,7.39,7.41,7.3,56.65,7.69,7.3,6.9,0.07
20150104,7.45,7.47,7.37,7.39,6312573,7.39,7.41,7.3,56.65,7.69,7.3,6.9,0.07
20150105,7.5,7.58,7.49,7.49,12071774,7.42,7.41,7.3,58.38,7.7,7.3,6.9,0.08
20150106,7.55,7.55,7.47,7.49,13494930,7.47,7.42,7.31,59.82,7.73,7.31,6.9,0.09
20150107,7.52,7.64,7.5,7.55,17298065,7.49,7.43,7.32,58.51,7.74,7.32,6.89,0.09
20150108,7.58,7.61,7.53,7.57,11239937,7.52,7.45,7.33,60.67,7.77,7.33,6.89,0.09
20150109,7.67,7.73,7.56,7.61,17602732,7.56,7.48,7.36,63.58,7.81,7.36,6.91,0.1
20150110,7.67,7.73,7.56,7.61,17602732,7.56,7.48,7.36,63.58,7.81,7.36,6.91,0.1
20150111,7.67,7.73,7.56,7.61,17602732,7.56,7.48,7.36,63.58,7.81,7.36,6.91,0.1
20150112,7.65,7.79,7.61,7.78,16370889,7.59,7.51,7.39,62.58,7.83,7.39,6.94,0.11
20150113,7.73,7.74,7.67,7.7,11172468,7.63,7.55,7.44,65.23,7.78,7.44,7.1,0.12
